user,session_count,total_events,unique_page_types,events_per_session
10001605996793357150u,1,16,2,16.0
10001671548587851774u,1,7,3,7.0
10002703279131110244u,2,13,3,6.5
10003364840060057061u,1,11,2,11.0
10004174380274556491u,1,6,2,6.0
10006996665740919548u,1,31,2,31.0
10008047856878684405u,1,12,3,12.0
10008240187916906042u,1,6,2,6.0
10008775506870874196u,1,13,3,13.0
100105731458701234u,6,29,4,4.833333333333333
10012475465344877147u,1,7,2,7.0
10013455161162678444u,1,8,2,8.0
10014109632275898513u,1,6,2,6.0
1001461062350522576u,3,24,2,8.0
10014653893769848663u,3,8,1,2.6666666666666665
10015412275503645734u,1,8,1,8.0
10016963277450604140u,1,10,1,10.0
10017901602612075936u,1,7,3,7.0
10020612649726787735u,2,11,3,5.5
10021024946908598975u,1,7,3,7.0
10021050987443364993u,1,21,2,21.0
10021291412565383279u,1,7,2,7.0
10021369532052417807u,2,6,1,3.0
10021411709180301665u,1,11,1,11.0
10023801380356083626u,1,6,2,6.0
10024669148965374516u,1,7,3,7.0
10027683982174416261u,1,6,2,6.0
10031598310525724449u,1,7,1,7.0
10031960514409297032u,1,11,2,11.0
10033838641845880462u,2,8,1,4.0
10033904138998292804u,11,18,3,1.6363636363636365
10034129744831025798u,1,7,1,7.0
10038972005563829623u,1,6,3,6.0
10039257531379859361u,1,6,2,6.0
10040015493563549402u,1,8,1,8.0
10041542529044982173u,2,6,1,3.0
10041899811630214651u,1,6,1,6.0
10043255145037435362u,1,25,2,25.0
10043678469163284073u,1,6,3,6.0
10044360685615588028u,3,6,1,2.0
10044631743326579579u,3,14,2,4.666666666666667
10045509651238878959u,2,14,4,7.0
10049635563983733730u,4,7,1,1.75
10050839634045425895u,5,14,3,2.8
10052142148990647326u,1,12,1,12.0
10054913052079520612u,1,9,2,9.0
10055476949011053606u,1,7,2,7.0
10057344317896982106u,1,6,3,6.0
10057945567733605391u,6,8,1,1.3333333333333333
10058713425674303806u,1,6,2,6.0
10061146611389501345u,4,57,4,14.25
10061460826828479664u,9,10,1,1.1111111111111112
10062039949568635032u,3,17,3,5.666666666666667
10062219807540020842u,5,18,2,3.6
10062314896525379782u,1,6,1,6.0
10062505318828146135u,1,8,2,8.0
10063696428633287357u,1,9,2,9.0
10063884571252384955u,1,6,3,6.0
10064034874303801320u,1,8,1,8.0
10064648623751228317u,1,13,3,13.0
10064919838875021675u,1,6,1,6.0
10065558782592577947u,1,6,2,6.0
10065990493300868426u,1,12,1,12.0
10066071822771355697u,2,11,3,5.5
10067620506550915897u,1,10,2,10.0
1006854649325507403u,1,8,1,8.0
10068953702427421579u,1,14,1,14.0
10069098391482776817u,2,31,2,15.5
10069210484912052890u,4,22,3,5.5
1006958371135351063u,3,12,1,4.0
10070057728862696979u,1,8,2,8.0
10071005750578892359u,1,10,2,10.0
10071866403286432735u,1,7,2,7.0
10072230606310660596u,1,7,2,7.0
10073684204886515836u,5,20,4,4.0
10074855245868737247u,4,12,1,3.0
10074885375008165897u,1,12,3,12.0
10074949798012654766u,2,15,2,7.5
10076104732558514228u,5,28,3,5.6
10077607096372767321u,1,6,2,6.0
10077735747044878597u,1,7,3,7.0
10078599591908813100u,1,7,2,7.0
10080636595809360450u,3,11,2,3.6666666666666665
10081255552563809342u,1,16,2,16.0
10083671614153186013u,3,20,2,6.666666666666667
10084144812407171628u,4,8,1,2.0
10088615668249169229u,2,6,1,3.0
10088648267749789644u,10,12,1,1.2
10089293241886946703u,2,6,1,3.0
10089979090695395155u,1,9,1,9.0
10090857996254098877u,1,9,3,9.0
1009087899614806645u,1,10,3,10.0
10092643256724200989u,2,10,1,5.0
10093195080514301055u,1,8,1,8.0
10093411585359667059u,1,13,3,13.0
10093767594235341736u,1,8,2,8.0
10094276390766688074u,1,6,3,6.0
10095670377465740865u,3,9,1,3.0
100974795045799971u,1,27,3,27.0
10097998175979710954u,1,9,2,9.0
10098376772272717215u,2,6,1,3.0
10099698335827032890u,1,8,3,8.0
1009994523360790981u,1,6,2,6.0
10100859397677302990u,1,9,2,9.0
10101247532396095122u,1,6,1,6.0
10102592522605101101u,1,9,2,9.0
10103460311019717695u,10,29,2,2.9
10105870898906143076u,1,8,2,8.0
10105936574901594811u,1,11,2,11.0
1010675278346329896u,1,11,3,11.0
10106794151185573609u,2,12,3,6.0
10106972389836326507u,4,25,4,6.25
10107097740226124068u,1,6,2,6.0
1010863438101006017u,2,6,1,3.0
10111629633587852701u,1,7,2,7.0
10112512561980971558u,10,11,1,1.1
10112830257332897075u,9,21,3,2.3333333333333335
10113476089877485885u,1,7,3,7.0
10113939053437125743u,2,26,3,13.0
10117367875123722622u,1,7,2,7.0
10117585735942623342u,1,9,2,9.0
1011948266851934454u,7,7,1,1.0
10119521445473463208u,6,6,1,1.0
10119571338443384886u,1,7,2,7.0
10119703424830023545u,1,9,3,9.0
10119714489297709084u,1,6,1,6.0
10120192880003867860u,1,12,3,12.0
10120410723228327042u,1,9,1,9.0
10122069735129058403u,2,6,1,3.0
10123453664389858486u,1,9,1,9.0
10124153024845455178u,1,14,4,14.0
10124986151177261285u,1,17,3,17.0
10127857181456925908u,2,28,4,14.0
10128628756515300043u,1,8,1,8.0
10129029431416924780u,1,6,2,6.0
10129327945388707554u,6,17,3,2.8333333333333335
10129339295868590722u,4,15,2,3.75
10129761751199331346u,1,15,2,15.0
10130073354062326364u,2,12,3,6.0
10131472193453109369u,1,8,2,8.0
10131492604201024800u,1,16,3,16.0
10131583284383632431u,5,14,4,2.8
10132321226288004044u,9,10,1,1.1111111111111112
10132497733459317559u,1,10,1,10.0
10134089637423504810u,2,12,1,6.0
10134510655965935471u,2,28,2,14.0
10134877152990686044u,1,11,1,11.0
10138129129688418866u,1,12,2,12.0
101391969381570670u,1,8,4,8.0
10140488537046030423u,1,7,2,7.0
10141559574229126679u,2,12,1,6.0
10142463391782756675u,2,6,1,3.0
